0.04643368721008301
0.9 | GMM Full | nComponents = 8 | Normalized | Uncalibrated | PCA = 8 | ActDCF =8.901 | MinDCF =0.996
0.9 | GMM Full | nComponents = 8 | Normalized | Calibrated | PCA = 8 | ActDCF =9.000 | MinDCF =0.995
0.1 | GMM Full | nComponents = 16 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.975
0.1 | GMM Full | nComponents = 16 | Normalized | Calibrated | PCA = 8 | ActDCF =2.186 | MinDCF =0.986
0.5 | GMM Full | nComponents = 16 | Normalized | Uncalibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.767
0.5 | GMM Full | nComponents = 16 | Normalized | Calibrated | PCA = 8 | ActDCF =1.000 | MinDCF =0.853
0.9 | GMM Full | nComponents = 16 | Normalized | Uncalibrated | PCA = 8 | ActDCF =9.000 | MinDCF =1.000
0.9 | GMM Full | nComponents = 16 | Normalized | Calibrated | PCA = 8 | ActDCF =9.000 | MinDCF =1.000
0.1 | GMM Diagonal | nComponents = 1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.686 | MinDCF =0.557
0.1 | GMM Diagonal | nComponents = 1 | Raw | Calibrated | PCA = 8 | ActDCF =0.708 | MinDCF =0.555
0.5 | GMM Diagonal | nComponents = 1 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.225 | MinDCF =0.201
0.5 | GMM Diagonal | nComponents = 1 | Raw | Calibrated | PCA = 8 | ActDCF =0.516 | MinDCF =0.198
0.9 | GMM Diagonal | nComponents = 1 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.560 | MinDCF =0.747
0.9 | GMM Diagonal | nComponents = 1 | Raw | Calibrated | PCA = 8 | ActDCF =6.802 | MinDCF =0.773
0.1 | GMM Diagonal | nComponents = 2 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.420 | MinDCF =0.245
0.1 | GMM Diagonal | nComponents = 2 | Raw | Calibrated | PCA = 8 | ActDCF =0.597 | MinDCF =0.244
0.5 | GMM Diagonal | nComponents = 2 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.150 | MinDCF =0.144
0.5 | GMM Diagonal | nComponents = 2 | Raw | Calibrated | PCA = 8 | ActDCF =0.205 | MinDCF =0.146
0.9 | GMM Diagonal | nComponents = 2 | Raw | Uncalibrated | PCA = 8 | ActDCF =1.075 | MinDCF =0.671
0.9 | GMM Diagonal | nComponents = 2 | Raw | Calibrated | PCA = 8 | ActDCF =3.607 | MinDCF =0.683
0.1 | GMM Diagonal | nComponents = 4 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.554 | MinDCF =0.247
0.1 | GMM Diagonal | nComponents = 4 | Raw | Calibrated | PCA = 8 | ActDCF =0.553 | MinDCF =0.247
0.5 | GMM Diagonal | nComponents = 4 | Raw | Uncalibrated | PCA = 8 | ActDCF =0.149 | MinDCF =0.147
0.5 | GMM Diagonal | nComponents = 4 | Raw | Calibrated | PCA = 8 | ActDCF =0.207 | MinDCF =0.147
