0.5 | 0.5 | Full | Normalized | PCA = 6 | ActDCF =0.390 | MinDCF =0.365
0.5 | 0.9 | Full | Normalized | PCA = 6 | ActDCF =1.734 | MinDCF =0.779
0.5 | 0.1 | Full | Normalized | PCA = 7 | ActDCF =1.847 | MinDCF =0.822
0.5 | 0.5 | Full | Normalized | PCA = 7 | ActDCF =0.333 | MinDCF =0.325
0.5 | 0.9 | Full | Normalized | PCA = 7 | ActDCF =1.481 | MinDCF =0.755
0.5 | 0.1 | Full | Normalized | PCA = 8 | ActDCF =1.881 | MinDCF =0.856
0.5 | 0.5 | Full | Normalized | PCA = 8 | ActDCF =0.315 | MinDCF =0.308
0.5 | 0.9 | Full | Normalized | PCA = 8 | ActDCF =1.268 | MinDCF =0.751
0.5 | 0.1 | Full | Normalized | PCA = 9 | ActDCF =1.865 | MinDCF =0.825
0.5 | 0.5 | Full | Normalized | PCA = 9 | ActDCF =0.319 | MinDCF =0.307
0.5 | 0.9 | Full | Normalized | PCA = 9 | ActDCF =1.324 | MinDCF =0.719
0.5 | 0.1 | Full | Normalized | PCA = 10 | ActDCF =1.896 | MinDCF =0.795
0.5 | 0.5 | Full | Normalized | PCA = 10 | ActDCF =0.316 | MinDCF =0.299
0.5 | 0.9 | Full | Normalized | PCA = 10 | ActDCF =1.269 | MinDCF =0.716
0.5 | 0.1 | Full | Normalized | PCA = 11 | ActDCF =1.860 | MinDCF =0.788
0.5 | 0.5 | Full | Normalized | PCA = 11 | ActDCF =0.320 | MinDCF =0.304
0.5 | 0.9 | Full | Normalized | PCA = 11 | ActDCF =1.338 | MinDCF =0.790
0.9 | 0.1 | Full | Raw | PCA = 5 | ActDCF =6.603 | MinDCF =0.851
0.9 | 0.5 | Full | Raw | PCA = 5 | ActDCF =0.763 | MinDCF =0.394
0.9 | 0.9 | Full | Raw | PCA = 5 | ActDCF =1.024 | MinDCF =0.943
0.9 | 0.1 | Full | Raw | PCA = 6 | ActDCF =5.618 | MinDCF =0.825
0.9 | 0.5 | Full | Raw | PCA = 6 | ActDCF =0.659 | MinDCF =0.384
0.9 | 0.9 | Full | Raw | PCA = 6 | ActDCF =0.972 | MinDCF =0.916
0.9 | 0.1 | Full | Raw | PCA = 7 | ActDCF =5.032 | MinDCF =0.812
0.9 | 0.5 | Full | Raw | PCA = 7 | ActDCF =0.601 | MinDCF =0.352
