0.5 | 0.33 | Linear Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.552 | MinDCF =0.517
0.5 | 0.5 | Linear Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.359 | MinDCF =0.356
0.5 | 0.66 | Linear Regression | Lambda =1.00e-05 | Raw | PCA = 10 | ActDCF =0.520 | MinDCF =0.475
0.5 | 0.33 | Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.584 | MinDCF =0.544
0.5 | 0.5 | Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.376 | MinDCF =0.367
0.5 | 0.66 | Linear Regression | Lambda =1.00e-05 | Normalized | PCA = 10 | ActDCF =0.540 | MinDCF =0.488
0.5 | 0.33 | Linear Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.559 | MinDCF =0.518
0.5 | 0.5 | Linear Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.363 | MinDCF =0.356
0.5 | 0.66 | Linear Regression | Lambda =2.34e-05 | Raw | PCA = 10 | ActDCF =0.526 | MinDCF =0.476
0.5 | 0.33 | Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.584 | MinDCF =0.544
0.5 | 0.5 | Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.376 | MinDCF =0.367
0.5 | 0.66 | Linear Regression | Lambda =2.34e-05 | Normalized | PCA = 10 | ActDCF =0.540 | MinDCF =0.488
0.5 | 0.33 | Linear Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.555 | MinDCF =0.518
0.5 | 0.5 | Linear Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.362 | MinDCF =0.356
0.5 | 0.66 | Linear Regression | Lambda =5.46e-05 | Raw | PCA = 10 | ActDCF =0.526 | MinDCF =0.479
0.5 | 0.33 | Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.582 | MinDCF =0.544
0.5 | 0.5 | Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.375 | MinDCF =0.367
0.5 | 0.66 | Linear Regression | Lambda =5.46e-05 | Normalized | PCA = 10 | ActDCF =0.539 | MinDCF =0.488
0.5 | 0.33 | Linear Regression | Lambda =1.27e-04 | Raw | PCA = 10 | ActDCF =0.550 | MinDCF =0.514
