0.1 | 0.5 | Linear Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =0.770 | MinDCF =0.403
0.1 | 0.9 | Linear Regression | Lambda =8.86e-03 | Raw | PCA = 10 | ActDCF =6.825 | MinDCF =0.983
0.1 | 0.1 | Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =0.837 | MinDCF =0.802
0.1 | 0.5 | Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =0.759 | MinDCF =0.347
0.1 | 0.9 | Linear Regression | Lambda =8.86e-03 | Normalized | PCA = 10 | ActDCF =6.749 | MinDCF =0.918
0.1 | 0.1 | Linear Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =0.905 | MinDCF =0.851
0.1 | 0.5 | Linear Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =0.814 | MinDCF =0.411
0.1 | 0.9 | Linear Regression | Lambda =2.07e-02 | Raw | PCA = 10 | ActDCF =7.235 | MinDCF =0.992
0.1 | 0.1 | Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =0.896 | MinDCF =0.800
0.1 | 0.5 | Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =0.830 | MinDCF =0.352
0.1 | 0.9 | Linear Regression | Lambda =2.07e-02 | Normalized | PCA = 10 | ActDCF =7.408 | MinDCF =0.929
0.1 | 0.1 | Linear Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =0.962 | MinDCF =0.847
0.1 | 0.5 | Linear Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =0.923 | MinDCF =0.413
0.1 | 0.9 | Linear Regression | Lambda =4.83e-02 | Raw | PCA = 10 | ActDCF =8.271 | MinDCF =0.993
0.1 | 0.1 | Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =0.967 | MinDCF =0.793
0.1 | 0.5 | Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =0.941 | MinDCF =0.365
0.1 | 0.9 | Linear Regression | Lambda =4.83e-02 | Normalized | PCA = 10 | ActDCF =8.445 | MinDCF =0.923
